title,miles,price,location,link,year
,,80.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/831342277617546/,
1998 Ford F-150 Long Bed,167000.0,2550.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/845233362947602/,1998.0
2003 Saturn Ion 1 Sedan 4D,144000.0,2500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/381696906361978/,2003.0
2004 Ford Freestar SEL Minivan 4D,86000.0,2300.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/1047385685722246/,2004.0
1996 Mercury Grand Marquis LS Sedan 4D,148000.0,600.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/424771555585024/,1996.0
2000 Chevrolet Blazer Sport Utility 4D,146000.0,3500.0,"Pueblo, CO",https://www.facebook.com/marketplace/item/384518002732753/,2000.0
1997 Ford Explorer Sport Utility 2D,256000.0,900.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/264552571606799/,1997.0
1996 Ford Contour,110000.0,600.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/349328479648596/,1996.0
1997 Toyota Camry XLE Sedan 4D,126000.0,2000.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/890436908446578/,1997.0
2008 Mazda Mazda6,155000.0,700.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/348000289961528/,2008.0
1994 Mazda B-Series B4000 4WD LE,325000.0,500.0,"Woodland Park, CO",https://www.facebook.com/marketplace/item/495612798065037/,1994.0
1999 Lincoln Navigator Sport Utility 4D,243000.0,2800.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/828642014591653/,1999.0
2007 Pontiac G6 Sedan 4D,209000.0,1800.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/261171755110756/,2007.0
2001 Ford F-350 Long Bed,190000.0,1000.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/2818889315000776/,2001.0
2005 Chevrolet TrailBlazer,146000.0,2950.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/478688946364582/,2005.0
2005 Dodge Stratus SXT Sedan 4D,175000.0,1800.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/373877983801936/,2005.0
1997 Ford Expedition Sport Utility 4D,270000.0,1500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/2043041235994428/,1997.0
2001 Chevrolet Tahoe Sport Utility 4D,158000.0,3900.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/697997571148865/,2001.0
1995 Jeep Grand Cherokee Laredo Sport Utility 4D,238000.0,1700.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/290147905420484/,1995.0
2003 GMC 2500 hd SLE Pickup 2D 6 1/2 ft,304000.0,8500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/363390758323087/,2003.0
2004 Ford F-150 FX4 Pickup 4D 5 1/2 ft,305000.0,4300.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/664394567534258/,2004.0
2007 GMC Canyon,237000.0,3600.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/1288262581519850/,2007.0
1990 Chevrolet Suburban,175000.0,2000.0,"Woodland Park, CO",https://www.facebook.com/marketplace/item/1290465951286597/,1990.0
1996 Buick LeSabre Custom Sedan 4D,130000.0,1200.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/289651442082556/,1996.0
1999 GMC Gmc Suburban 2500 Sport Utility,203000.0,3900.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/810967626358854/,1999.0
2000 Dodge Dakota Short Bed,151000.0,2300.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/384993909217143/,2000.0
2002 Jeep Liberty,160000.0,1600.0,"Woodland Park, CO",https://www.facebook.com/marketplace/item/2668993886744347/,2002.0
1994 Ford Explorer Sport Utility 2D,212000.0,1200.0,"Elizabeth, CO",https://www.facebook.com/marketplace/item/679472086040908/,1994.0
1995 Dodge Ram 2500 Long Bed,205000.0,2500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/356736752273266/,1995.0
2001 Ford Taurus,134000.0,1500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/829395137602302/,2001.0
2002 GMC Sierra,160000.0,2000.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/358219141908791/,2002.0
2000 Chevrolet Silverado 1500,374000.0,2800.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/1409660139238823/,2000.0
2002 Chevrolet Silverado 1500 Short Bed,211000.0,3800.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/3626475290724409/,2002.0
2001 Dodge Dakota,119000.0,4900.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/387004619328300/,2001.0
1996 Ford Ranger Pickup,132000.0,2500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/1607634776111491/,1996.0
2004 Dodge Ram 1500,115000.0,2000.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/363356038234077/,2004.0
1999 Chevrolet Silverado 2500 Long Bed,190000.0,3000.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/463040381773470/,1999.0
1993 Chevrolet k5 blazer 2 door,200000.0,3500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/1479572098918931/,1993.0
1989 Chevrolet S-10 Short Bed,300000.0,500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/856394801767982/,1989.0
2002 Ford F-150 Short Bed 4D,220000.0,3600.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/368873294545039/,2002.0
2002 Ford F-150 Short Bed 4D,200000.0,2000.0,"Pueblo, CO",https://www.facebook.com/marketplace/item/1291798527839337/,2002.0
2002 Ford F-350,424000.0,3600.0,"Pueblo, CO",https://www.facebook.com/marketplace/item/293232974981642/,2002.0
2000 Chevrolet Silverado 1500 Short Bed,226000.0,3200.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/272997254111949/,2000.0
,,3500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/1365507173781024/,
2004 Chevrolet Colorado,1000.0,1234.0,"Peyton, CO",https://www.facebook.com/marketplace/item/868572330617526/,2004.0
2001 Ford F-150 King Ranch Short Bed 4D,215000.0,3500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/682133762738563/,2001.0
1989 GMC Sierra,136000.0,2500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/996178087473310/,1989.0
1998 Chevrolet k2500 SLT,225000.0,2500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/712096936072568/,1998.0
1998 Chevrolet Tahoe,166000.0,2600.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/3725944087440444/,1998.0
2001 Nissan Xterra,203000.0,800.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/2793223174241808/,2001.0
2006 Dodge Ram 1500 SLT Pickup 4D 8 ft,190000.0,4500.0,"Pueblo, CO",https://www.facebook.com/marketplace/item/357756985473290/,2006.0
2004 Dodge Ram 1500 SLT Pickup 4D 6 1/4 ft,204000.0,2900.0,"Parker, CO",https://www.facebook.com/marketplace/item/711083509783608/,2004.0
1994 Dodge Ram 2500 Long Bed,197000.0,1750.0,"Peyton, CO",https://www.facebook.com/marketplace/item/392950011863841/,1994.0
2006 Cadillac Escalade Sport Utility 4D,128000.0,3200.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/3654151117940332/,2006.0
2000 Dodge Durango,193000.0,1400.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/2741373606120779/,2000.0
1996 Dodge Ram 2500 Long Bed,56000.0,2500.0,"Divide, CO",https://www.facebook.com/marketplace/item/420985592402816/,1996.0
1999 Toyota Tacoma Pickup,229000.0,2500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/400201941001068/,1999.0
1998 Dodge Ram 1500 Short Bed,294000.0,900.0,"Florence, CO",https://www.facebook.com/marketplace/item/799031840847096/,1998.0
1995 Ford F-150 Long Bed,178000.0,4550.0,"Parker, CO",https://www.facebook.com/marketplace/item/662752851278504/,1995.0
1998 GMC Sierra Short Bed,196000.0,2000.0,"Pueblo, CO",https://www.facebook.com/marketplace/item/634863397394424/,1998.0
,,2000.0,"Pueblo, CO",https://www.facebook.com/marketplace/item/767199977171593/,
1987 GMC Sierra,125000.0,4500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/1602392126608460/,1987.0
2004 Chevrolet Silverado 1500 LS Pickup 4D 6 1/2 ft,170000.0,7000.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/422082988954017/,2004.0
1985 GMC Gmc Vandura G2500 Van,199000.0,2500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/788014978643427/,1985.0
"1991 Dodge D-350 159"" WB",60000.0,2500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/1336348636708073/,1991.0
1995 Ford F-150 Short Bed,244000.0,4495.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/688010378793536/,1995.0
1998 Chevrolet S-10 Pickup,171000.0,3000.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/3370251713025613/,1998.0
2003 Chevrolet Silverado 2500 LT Pickup 4D 6 1/2 ft,200000.0,6500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/832755837477389/,2003.0
1996 Chevrolet Silverado 1500 Long Bed,177000.0,2000.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/394060271749410/,1996.0
1998 Dodge Ram 1500 Short Bed,186000.0,2250.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/375372196994330/,1998.0
1994 Ford F-150 Xlt,163000.0,2500.0,"Pueblo, CO",https://www.facebook.com/marketplace/item/444499113202415/,1994.0
,,3700.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/1066196050464864/,
2004 Mitsubishi Endeavor LS Sport Utility 4D,204000.0,1800.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/758420901669562/,2004.0
1994 GMC Sierra Short Bed,103000.0,5500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/684247069186344/,1994.0
,,5700.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/362038868370389/,
1998 Chevrolet Silverado 2500,172000.0,3500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/408483503518143/,1998.0
2004 Ford F-150 STX Pickup 2D 6 1/2 ft,200000.0,4500.0,"Woodland Park, CO",https://www.facebook.com/marketplace/item/1384713415221614/,2004.0
1989 Chevrolet Suburban,147000.0,2500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/3382209111854697/,1989.0
2001 Ford F-150,171000.0,6700.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/1487572394768118/,2001.0
1988 Ford Ranger Custom,200000.0,1800.0,"Pueblo, CO",https://www.facebook.com/marketplace/item/3822515314439594/,1988.0
1991 Chevrolet S-10,123000.0,444.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/450770645866235/,1991.0
1997 Ford Club Wagon,300000.0,1000.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/700513797244476/,1997.0
2005 Toyota Tundra SR5 Pickup 4D 6 1/2 ft,193000.0,8000.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/1306346363044237/,2005.0
2002 GMC Sierra K1500,154000.0,6995.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/4225723397444493/,2002.0
2000 Chevrolet S-10 Short Bed,200000.0,2800.0,"Pueblo, CO",https://www.facebook.com/marketplace/item/1434994033363919/,2000.0
1980 Chevrolet k10,123000.0,1500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/3188492164596059/,1980.0
1995 Ford F-250,200000.0,4500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/2894279394149665/,1995.0
2005 Chevrolet Tahoe Z71,246000.0,4800.0,"Pueblo, CO",https://www.facebook.com/marketplace/item/645375029475504/,2005.0
1996 Chevrolet Silverado 1500 Long Bed,137000.0,1234.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/3404962069616451/,1996.0
2008 Chevrolet Silverado 1500 LT Pickup 2D 8 ft,84000.0,7000.0,"Florissant, CO",https://www.facebook.com/marketplace/item/377106220156950/,2008.0
1993 GMC Gmc Suburban 2500,177000.0,3300.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/1897719547036928/,1993.0
1998 Dodge Ram 2500 Short Bed,285000.0,5000.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/661278117851817/,1998.0
2010 Ford Focus SES Sedan 4D,142000.0,3500.0,"Monument, CO",https://www.facebook.com/marketplace/item/2671216213117278/,2010.0
2007 Mazda Mazda3 s Sport Sedan 4D,165000.0,1050.0,"Pueblo, CO",https://www.facebook.com/marketplace/item/1298123250534985/,2007.0
1991 Mercedes-Benz 190 E 2.3 Sedan 4D,157000.0,1600.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/961774337642645/,1991.0
2007 Kia Optima LX Sedan 4D,150000.0,1200.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/844851519594152/,2007.0
1995 Chevrolet Silverado 2500 Long Bed,255000.0,2000.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/3442230039161126/,1995.0
2012 Mazda Mazda6 i Sport Sedan 4D,146000.0,2700.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/1573858036154720/,2012.0
